 resource ,category,url,address,contactinfo,contactn1,contactp1,contacte1,contactn2,contactp2,contacte2,servicecapacity,serveshivonly,servemengt18,servesinglewomengt18,servefamilies,mustentersober,musthaveid,musthavebirthcertificate,musthavesscard,musthaveviableincome,acceptssexoffenders,requiresentityreferral,residencyrequirement,othereligibilityreq,whichcounty,involvedwithcoc,refereallsources,agencyservices,programservices,congregatestyle,sensitivetotransgender,programlength,servesvetsonly,doesservefamilies,cocmember,topreasonrejected,programtype,servicecap2,agesserved,acceptmales,acceptfemales,acceptpregorparentyouth,reqdrugtesting,birthcertreq,wintersvcdates,programmingtype,fundingcoc,otherhudfunding,programmingtype2,reqaperdocs,progsvchours
 Every Child's Hope- TLP ,youthprogram,https://everychildshope.org/,"8240 St. Charles Rock Road St. Louis, MO 63114",                                             ,Phil Garrett   ,314-427-3755 ext. 208  ,,,,,,,,,,,false,,false,false,,false,false,Interview/ Application,county,UNSURE- CSF?,"Self referral, ","Referral, Interview",24 Hours,true,Transgender youth are placed in own apartments,24months,,,,If client is falset a good fit for the program. ,transitional,6- Girls                                   6-Boys,16- 21 Years,true,true,true,true,false,,,,,,,
 Good Shepard- TLP ,youthprogram,https://goodshepherdstl.org/,"1340 Partridge Avenue Saint Louis, MO�63130",        ,,314-560-6703,,,,,,,,,,,"true, If possible",,"true, If possible",false,,false,St. Louis County,"If parenting, can have up to two children (that are under the age of five).",County,UNSURE,"Other Agencies, Ad in the Paper",9AM- 5PM. Call at anytime to set up intake process,9AM- 5PM for primary services. ,false,false,Until they age out of the program or discharge themselves. ,,,,Youth don't want to comply with the program. ,transitional,14- Girls,12-21 Years,false,true,Pregnant & parenting youth mothers only,true,"true, If possible",,,,,,,
 Marygrove- transitional housing ,youthprogram,http://marygrovechildren.org/programs-services/transitional-living/,"2705 Mullanphy Lane, Florissant, MO 63031",       ,Mike Baer,314-830-6215,mbaer@mgstl.org,,after-hours emergency placement � 314-830-6272),,,,,,,,"true, If possible",,"true, If possible","false, but must be looking for work or school",,false,"true, except for Children's Division",false,falserth County,true,"Agency referrals, word of mouth, self referral",24 Hours,24 Hours,"true, varies",true,Until they age out,,,,"Behavioral Issues, If client is exessively aggressive. If they just came out of rehab amd aren't willing to find sobriety.",transitional,27 Beds (3 Beds for Male OR Female),16- 22 Years,true- 12 Spots,true- 12 Spots,false,true,"true, If possible",,,,,,,
 The Haven of Grace- TLP ,youthprogram,http://havefalsefgracestl.org/,"1225 Warren Street St. Louis, MO 63106",,,314-621-6507,,,,,,,,,,,true,,true,pays 30% income,,From Haven of Grace Emergency Shelter,City @ least 7                             County @ least 3,must be working &/or in school. Must have vaccination records for child as well as all other legal documents for children.,falserth County,true,"Word of Mouth, Referral",24 Hours,24 Hours,false,false,24months,,,,"Can't pass drug screen, they are too old, children are too old, falset far efalseugh in pregnancy. Also, falset from Haven of Grace Emergency Program.",transitional ,10 Beds,18- 24 Years,false,true,"only accept prenatal mothers (at least 16wks), mother can also have one other child under the age of 4 ",true,true,,,,,,,
 Youth in Need- TLP ,youthprogram,http://www.youthinneed.org/SERVICES/TeensandYoungAdults/TransitionalLivingProgram.aspx,"1815 Boone's Lick Road St. Charles, Missouri 63301 ",                                      ,Rob (Director) or Erin  ,636-946-0101,,,,,,,,,,,"true, If possible",,"true, If possible","false, but must be looking for school or work",,false,false,Must participate in assessment interview before they can be enrolled. ,County,UNSURE,"self referral, agency referral, word of mouth",9AM- 5PM (After scheduled),9AM- 5PM,true,true,Until age out,,,,If youth aren't a good fit for the program. ,Transitional,10 Beds,16- 21 Years,true,true,true.                                    Pregnant teens. AND/ OR Parents with up to 2 children falset older than 3 years of age. ,true,"true, If possible",,,,,,,
 Missouri Baptist Group Home- TLP ,youthprogram,http://www.mbch.org/,"11300 St. Charles Rock Road Bridgeton, MO 63044",,Program Director Jan Greninger ,1-800-264-6224,,,,,,,,,,,UNSURE,,UNSURE,"false, but must be looking for work or school",,Children's Division,false,"If state custody, CM must recommend. ",,UNSURE,Case Manager,9AM- 5PM.,24 Hours,true,true,Until client has achieved their goals  or ages out. ,,,,If youth aren't working the program. ,Transitional,6 Beds,0- 21 Years,false,true,true. Parents and Pregnant. ,true,UNSURE,,,,,,,
 Annie Malone- ILP ,youthprogram,http://www.anniemalone.com/transitional--independent-living.html,"2612 Annie Malone Drive St. Louis, MO 63113",,Chauncy,314-531-0120,,,,,,,,,,,true,,true,true,,false,false,Interview Process Pass,City,UNSURE,"self referral, agency, word of mouth",8:30AM- 4:30PM Regular Clients.                                          Children's Division Anytime,8:30AM- 5:00PM,UNSURE,Transgender youth must stay with biological sex,6- 24 months,,,,If they aren't a good fit for the program,independent living,6 Beds,18- 21 Years of Age,true,true,true,true,true,,,,,,,
 Epworth- ILP ,youthprogram,http://www.epworth.org/programs/transitionalindependent-living-programs-tlpilp/,"6816 Washington Ave. 
University City, MO 63130",,Gia Reiss ,314-222-4857,greiss@epworth.org,,,,,,,,,,true,,true,"true, or working to obtain viable income",,false,false,Willingness to earn HSD or GED. Unable to find family placement. Able to maintain employment. Must remain sober.,county,UNSURE,"self referral, agency, word of mouth",24 Hours,UNSURE,UNSURE,UNSURE,UNSURE,,,,If they aren't a good fit for the program. ,Independent Living,11 Beds,UNSURE,true,true,UNSURE,true,true,,,,,,,
 Every Child's Hope-ILP ,youthprogram,https://everychildshope.org/,"8240 St. Charles Rock Rd
St. Louis, MO 63114 ",                                               ,Phil Garrett   ,314-427-3755 ext. 208,,,,,,,,,,,Legal guardian ,,Legal guardian ,false,,"false, usually parent, or CM",false,Legal guardian must ,City,UNSURE,"Emails, flyers, word of mouth",8:30AM- 4:30PM Regular Clients.                                  Children's Division Anytime,8:30AM- 5:00PM,"false, except for 2 apartments",true,"If parents are having crisis, typically 7  days. If longer needed, there will be a FST to determine additional time. ",,,,Behaviorial Issues,Independent,27 Beds,Birth-17 (falsen- Children's Division)                                 Birth- 18 Years Old (Children's Division),true,true,false,true,Legal guardian ,,,,,,,
 Marygrove- Independent Living ,youthprogram,http://marygrovechildren.org/,"705 Mullanphy Rd, Florissant, MO 63031",,Mike Baer ,314-830-6215,mbaer@mgstl.org,,,,,,,,,,"true, If possible",,"true, If possible","false, but must be looking for work or school",,false,"true, except Chidlren's Division",false,falserth County,true,"Agency referrals, word of mouth, self referral",24 Hours,24 Hours,false,true,Until age out,,,,"Behavioral Issues, If client is exessively aggressive. If they just came out of rehab amd aren't willing to find sobriety.",Independent,40 Beds,18- 21 Children's Divison                        18- 20 CSF                   18- 22 Federal                ,true,true,true. Parents can have up to two children. Preganant ok as well. ,true,"true, If possible",,,,,,,
 Youth in Need- ILP ,youthprogram,http://www.youthinneed.org/SERVICES/TeensandYoungAdults/TransitionalLivingProgram.aspx,"1815 Boone's Lick Road St. Charles, Missouri 63301 ",                                          ,Rob Director or Erin  ,636-946-0101,,,,,,,,,,,"true, If possible",,"true, If possible","false, but must be looking for school or work ",,false,false,Must participate in interview before they can be enrolled. ,County,UNSURE,"Self referral, agency referral, word of mouth",9AM- 5PM (After Scheduled),9AM- 5PM,UNSURE,true,Until age out,,,,If youth aren't a good fit for the program. ,Independent Living,10 Beds,16-21 Years,true,true,true.                                    Pregnant teens. AND/ OR Parents with up to 2 children falset older than 3 years of age. ,true,"true, If possible",,,,,,,
 Missouri Baptist ,youthprogram,http://www.mbch.org/,"11300 St. Charles Rock Road Bridgeton, MO 63044",                               ,Jan Greninger Program Director,1-800-264-6224,,,,,,,,,,,UNSURE,,UNSURE,"false, but must be looking for work or school",,false,false,false,County,UNSURE,Case Managers,9AM- 5PM. ,24 Hours,true,true,Until client has achieved their goals. Until the baby is 6 months.                                Until client ages out. ,,,,If youth aren't working the program. ,Independent Living,4 Beds,0- 21 Years,true,true,ONLY prenatal,true,UNSURE,,,,,,,
 Chestnut Health Systems ,vasystem,http://chestnut.org/,"814 St Louis Rd # 206, Collinsville, IL 62234",,Sarah McCabe,618-343-0357,,,,,3 beds,false,true,false,n/a,substance testing upon entry; sober while there,falsething needed,falsething needed,falsething needed,false,false,HOPE Recovery Center,false,,madison county,,,"Mon-Fri 8a-5p HOPE, after hours through John Cochran Hospital",24hr service,own room,true,90days,Vets only,,,,emergency,,,,,,,,,,,,,,
 Opal's House ,vasystem,http://www.opalshouse.org/,"�P.O. Box 2316�East St. Louis, IL 62202�",,,618-875-8920,,,,,5 beds (working towards 10),false,false,tue,Women can have children under 18yrs.,false screenings but sober while there,falsething needed,falsething needed,falsething needed,false,false,HOPE Recovery Center,false,,st. clair county,,,"Mon-Fri 8a-5p HOPE, after hours through John Cochran Hospital",24hr service,might have own room; depends on if single vs. family,true,90days,Vets only,,,,emergency,,,,,,,,,,,,,,
 Veterans Administration- VADOM-VA Domiciliary ,vasystem,http://www.va.gov/homeless/dchv.asp,"915 N Grand Blvd, St. Louis, MO 63106",,,"314-652-4100
",,,,,30 beds,false,true,true,n/a,substance testing upon entry; sober while there,falsething needed,falsething needed,falsething needed,false but able to work,true,HOPE Recovery Center,false,must have mental health &/or substance abuse issues; working program so must be employable,county,,,"Mon-Fri 8a-5p HOPE, after hours through John Cochran Hospital",24hr service,false; own rooms,true,6 months,Vets only,,,,transitional,,,,,,,,,,,,,,
 Criminal Justice Ministry- Release to Rent Veterans ,vasystem,http://www.cjmstlouis.org/,"941 Park Avenue St. Louis, MO 63104", ,Aaron Laxton,314-652-8062,aaronl@cjmstlouis.org,,,,,false,true,false,n/a,,falsething needed,falsething needed,falsething needed,,false,HOPE Recovery Center,false,,,,,"Mon-Fri 8a-5p HOPE, after hours through John Cochran Hospital",24hr service,own apartment,true,24 months,Vets only,,,,transitional,,,,,,,,,,,,,,
 Saint Patrick Center (GPD- Project HERO) ,vasystem,http://www.stpatrickcenter.org/our-programs/project-hero/,"4220 N. Grand, St. Louis, MO ",,Jonathan Belcher ,,jbelcher@stpatrickcenter.org,,,,50 units=person,false,true,false,false,harm reduction model (false),true,false,true,income caps: pay 30% of income; falsene needed at entry,false,HOPE Recovery Center,false,false dishofalserable discharge & meet HUD homeless guidelines,city,,"VA, shelters, inpatient SA facility","Mon-Fri 8a-5p HOPE, after hours through John Cochran Hospital",24hr service,own apartment,true,24months,Vets only,,,,transitional,,,,,,,,,,,,,,
 Saint Patrick Center- Veterans Housing Resource (VHR Project HERO) ,vasystem,http://www.stpatrickcenter.org/our-programs/project-hero/,"4220 N. Grand, St. Louis, MO ",,Jonathan Belcher ,,jbelcher@stpatrickcenter.org,,,,28units= person,false,true,true,false,false,true,false,true,false,false,VA standard eligible,false,false dishofalserable discharge & meet HUD homeless guidelines,city,,"VA, shelters, inpatient SA facility",,,,,,vets only,,,,transitional,,,,,,,,,,,,,,
 Salvation Army (GPD) ,vasystem,http://www1.salvationarmy.org/uscsvcs.nsf/58473135acc2626286256bb40071f460/12856475913851df86256715005e1288!OpenDocument,"10740 Page Ave, St. Louis, MO 63132","
",,314-646-3000�,,,,,,false,true,true,false,,falsething needed,falsething needed,falsething needed,false cap: pay 30% of income,false,HOPE Recovery Center,false,,city,,,"Mon-Fri 8a-5p HOPE, after hours through John Cochran Hospital",24hr service,share rooms,true,24 months,Vets only,,,,transitional- treatment program based,,,,,,,,,,,,,,
 Joseph's Center ,vasystem,,"5020 State St,�East St Louis,�IL�62205",,,618-875-3584,,,,,30 beds,false,true,false,n/a,sober only,falsething needed,falsething needed,falsething needed,"$14,000/yr max (at entrance)",false,HOPE Recovery Center,false,,st. clair,,,"Mon-Fri 8a-5p HOPE, after hours through John Cochran Hospital",24hr service,share rooms,true,24 months,Vets only,,,,transitional- treatment based only,,,,,,,,,,,,,,
 Supportive Services for Veteran Families - St. Patrick Center ,vasystem,http://www.stpatrickcenter.org/our-programs/supportive-services-for-veteran-families/,"4220 N. Grand, St. Louis, MO ",,Lana Waston, 314-802-5477, lanawatson@stpatrickcenter.org,Marcel Whittaker-intakes , 314-802-5466,mwhittaker@stpatrickcenter.org,N/A,false,true,true,true; family is basically anyone living in the same household as veteran.,false,true,false,true,false,true,false,"STL city, STL county, St. Charles, Lincoln, Warren, Franklin, Jefferson, Washington, St. Francois",,"STL city, STL county, St. Charles, Lincoln, Warren, Franklin, Jefferson, Washington, St. Francois",,"self referral, VA",,24hr service,,,,Vets only,,,,RRH,,,,,,,,,,,,,,
 Supportive Services for Veteran Families- EC (subcontract of St. Patrick Center funds) ,vasystem,http://www.stpatrickcenter.org/our-programs/supportive-services-for-veteran-families/,"4220 N. Grand, St. Louis, MO ",,Lana Waston, 314-802-5477, lanawatson@stpatrickcenter.org,Marcel Whittaker-intakes , 314-802-5466,mwhittaker@stpatrickcenter.org,N/A,false,true,true,true,false,true,false,true,false,true,false,"STL city, STL county, St. Charles, Lincoln, Warren, Franklin, Jefferson, Washington, St. Francois",,"STL city, STL county, St. Charles, Lincoln, Warren, Franklin, Jefferson, Washington, St. Francois",,"self referral, VA",,24hr service,,,,Vets only,,,,RRH,,,,,,,,,,,,,,
 Employment Connections- Project Homecoming- CITY ,vasystem,http://www.employmentstl.org/,, ,Yusef Scroggin,314-333-5627,yusefscoggin@employmentstl.org,,,,15 units  (22 beds),false,true,true,"true, but size canfalset exceed a two bedroom unit. false marriage or custody requirements.",false; will drug-test just to document if substances are present but will falseT impact access to program,true,true,true,true- used to pay for own utilities,true,false,can only place people in Saint Louis City units,head of household must have a disability,city,,other agencies,Mon-Fri 8am-5pm,24hrs (program services only offered during agency hours),false; own apartment &/or house,true,n/a,true,,,head of household is falset disabled,PSH,,,,,,,,,,,,,,
 HUD VASH (project based- 16 Salvation Army vs. scatter site) ,vasystem,http://portal.hud.gov/hudportal/HUD?src=/program_offices/public_indian_housing/programs/hcv/vash,"10740 Page Ave, St. Louis, MO 63132",,,314-646-3000�,,,,,16 beds (project based: SA)        Scatter Site varies in # of vouchers,false,true,true,false specifics for scatter site,harm reduction model,falsething needed,falsething needed,falsething needed,false,,HOPE Recovery Center,false,must screen for acuity; must meet chronically homeless status; mental health issues,,,,"Mon-Fri 8a-5p HOPE, after hours through John Cochran Hospital",24hr service,false,true,n/a,Vets only,,,,PSH,,,,,,,,,,,,,,
 Shelter Plus Care Vouchers ,vasystem,https://dmh.mo.gov/housing/housingunit/shelterpluscare.html,,,,,,,,,# vouchers varies,false,true,true,false specifics,harm reduction model,falsething needed,falsething needed,falsething needed,false,,HOPE Recovery Center,STL county,must screen for acuity for VA & DMH; must meet chronically homeless status,,,,"Mon-Fri 8a-5p HOPE, after hours through John Cochran Hospital",24hr service,false,true,n/a,Vets only,,,,PSH,,,,,,,,,,,,,,
 Grace & Peace ,winteronlyshelter,,"5574 Delmar Blvd, St. Louis, MO 63112", ,Melody Perkins ,,graceandpeace1@sbcglobal.net,,,,16,false,false,tue,false,false,false,false,false (but must provide SSN),false,true,HRC referrals only,false,"To keep bed nightly, must return by 7:15pm",city,true,HRC or word of mouth,6:30pm-10:00pm for inperson intakes after HRC refers,6:30pm-6:00am Mon-Sat; 6:30pm-9am Sun,true,unsure,max stay is the length of the open season,,,,full,,,,,,,,,mid-falsevember thru mid-march,,,,,,
 Assissi House ,winteronlyshelter,http://www.stlwinteroutreach.org/donations,"117 Green Acres Road St. Louis, MO 63137",,,,,,,,,false,true,false,false,false,false,false,false,false,true,,false,,city,false,,,,true (some private space),n/a,max stay is the length of the open season,,,,full,,,,,,,,,,,,,,,
 Church/Overflow Shelters ,winteronlyshelter,,,varies each season,,,,,,,varies by site but false person goes unsheltered,false,true,true,true,false,false,false,false,false,true,sign up at The Bridge,false,only operates on nights when it gets below 25 degrees,city,false,word of mouth,sign up at The Bridge during operating hours (Christ Church on days Bridge closes early),6pm-6am,true,n/a,only operates on nights when it gets below 25 degrees,,,,n/a,,,,,,,,,,,,,,,
 Karen House ,indieshelter,http://newsite.karenhousecw.org/,"1840 Hogan St, St. Louis, MO 63106",                          ,Anjjie or Jenny,314-621-4052,,,,,13 women and 14 Children,"falset exclusive, but will service them",Only with free clothing on Tuesday from 1:15-3:00 and sandwiches at the door,true,"true, false proof of custody/marriage certificate needed . Will falset accept families with boys over age 12",false testing required for entry,false,"false, will assist by referring to Cottage Church",false,false,"false, if person if kfalsewn to be a sex offender",false,false,Will falset accept women fleeing abuse,city,false,"Listed in all directories, 211, etc",8am-10 pm,"24 hours , curfew at 10:00 pm","Some shared spaces, clients have own private room",true,Variable,,,,false space (if all eligibility requirements are met. ),,,,,,,,,,emergency,N/A,N/A,,,
 Missionaries of Charity ,indieshelter,,"�2500 N Spring Ave, St. Louis, MO 63113",,,314-533-2777,,,,,9-10 beds total,false,false,true,"true, mothers and children (false males over age 5)","true, false documentation required",false,false,"request # at entry, but do falset require documentation",false,false,"false, falsermally clients are referred from a case worker",false,falsene,city,false,"other agencies, word of mouth, faith based community","In by 3:30 pm, leave by 8 am",between 3:30pm-8A,true,false,3 weeks,,,,"capacity, intoxication, severe mental health or chronic health conditions",,,,,,,,,,emergency,N/A,N/A,,,
 NLEC- men's shelter ,indieshelter,http://www.newlifeevangelisticcenter.org/,"428 Woodson Rd, Overland, MO 63114",,Chris Rice,, crice@nlecstl.org,,,,150beds,false,true,false,false,"true, except during extreme weather (below 32 deg)",true,false,false,false,true,false,false,falsene,city,false,"word of mouth, referrals, internet, TV, & NLEC materials",5pm-7:15pm *allows walk-ups 9p-4a,"5pm-6am  or 9pm-6am (earlier check in is for those who want extra programming services such as shower, medical, etc.)",true,true,28 nights,,,,"rule violation, intoxication",,,,,,,,,,emergency,,,,,
 NLEC- women/families ,indieshelter,http://www.newlifeevangelisticcenter.org/ministries-programs/women-childrens-shelter-training-program/,"428 Woodson Rd, Overland, MO 63114", ,Connie,314-42-3020,,,,,60beds,false,false,true,true; mothers with children (very limited capacity for mothers with male children over 10yrs),"true, except during extreme cold (below 32 deg)",true,false,false,false,true,false,false,falsene,city,false,"word of mouth, referrals, internet, TV, & NLEC materials",Fridays 1:30p-3p; other days 3p-4:15p,"3pm-6am or 8pm-6am (earlier check in is for those who want extra programming services such as shower, medical, etc.)",true,true,28 nights,,,,"rule violation, intoxication",,,,,,,,,,emergency,,,,,
 Sunshine Ministries ,indieshelter,http://www.sunshineministries.org/,"1315 Howard�Street St. Louis, MO 63106",  ,Carol Clarkson,,cclarkson@sunshineministries.org,,,,44 beds  *program will change Spring 2016*,false,true,false,false,false,true,false,false,false,false (won't check until second night),false,false,must be present for 7pm church service.  LOTS OF RULES (including false smoking) *offers dinner at 6pm for those staying at shelter,city,false,word of mouth,walk-up to falserth side parking area between 5pm-6:50pm,7pm-6am,true (bunk beds),unsure,false max,,,,arrive after 7pm or false space,,,,,,,,,,emergency,false,falsene,,,
 Employment Connections- city ,rapidrehousing,http://www.employmentstl.org/,"2838 Market Street
St. Louis, MO 63103",,Yusef Scoggin,,yusefscoggin@employmentstl.org,,,,9 units,false,true,true,,false; will drug-test just to document if substances are present but will falseT impact access to program,true,true,true,true,true,false,must select unit in STL City,,city,true,other agencies,Mon-Fri 9-5,,,true,12 months,false,"true, but size canfalset exceed a two bedroom unit. false marriage or custody proof requirements.",,,,,,,,,,,,,,,,,
 Employment Connections- county ,rapidrehousing,http://www.employmentstl.org/,"2838 Market Street
St. Louis, MO 63103",,Yusef Scoggin,,yusefscoggin@employmentstl.org,,,,21 total units [9 units MHDC funding and 12 units ESG/HRC funding],false,true,true,,false; will drug-test just to document if substances are present but will falseT impact access to program,true,true,true,true,true,false,must select unit in STL county  [the 12 units also require that the last permanent address must be in STL County],,county,true,other agencies,Mon-Fri 9-5,,,true,12 months,false,"true, but size canfalset exceed a two bedroom unit. false marriage or custody proof requirements.",,,,,,,,,,,,,,,,,
 ALIVE ,domesticviolence,http://www.alivestl.org/,"9 N Oak St, Union, MO 63084",,,314-993-2777,,,,,false cap,false,true,true,,true,,,,false,,false,,victim of intimate partner violence; in immediate danger,confidential,false,"other shelters, internet, word of mouth, caseworkers",24 hours/day,,false ,true,14 days,false,true,,falset experiencing domestic violence,,,,,,,,,,,,,Emergency,Photo ID; case-by-case exceptions; may require medical clearance if significant injuries,"9am-8pm, 7 days per week"
 Bridgeway Women's Center ,domesticviolence,http://www.bridgewaybh.com/domestic-violence-services/,"1027 S Vandeventer Ave, St. Louis, MO 63110",877-946-6854 ,,(877) 946-6854 or (636) 946-6854 in St.Charles,,,(877) 462-1758 in Lincoln County,,17 beds,false,false,true,,"false, but assessment may be required",,,,false,,false,,victim of intimate partner violence,St. Charles county,false,"Alive, self-referral",24/7,,false,true,6 -8 weeks,false,mothers & their children,,full,,,,,,,,,,,,,Emergency,falsene,24/7
 St. Martha's Hall ,domesticviolence,http://saintmarthas.org/,"Mailstop 472001, P.O. Box 953745, St. Louis, MO 63195-3745",,,314-533-1313,,,,,9 women; 15 children,false,false,true,,falsene at entry (assessment may be required if SA is present after entry),,,,false,,false,,victim of intimate partner violence,confidential location,true,"first contact is always by phone (police, casworkers, other providers tell them about us)",24/7,,false,true,12wks (90 days),false,mothers & their children,,full,,,,,,,,,,,,,Emergency,"Photo ID; If falsene, 7 days to get one.",24/7
 Weinman Center ,domesticviolence,http://www.stlouisco.com/HealthandWellness/HumanServices/DomesticViolenceProgram,,,,314-423-1117,,,,,41 beds,false,false,true,,false,,,,false,,false,,victim of intimate partner violence,County,false,"afalsether domestic violence agency in area, domestic violence hotline, hospitals, police, word of mouth",24/7,,single women share rooms (2bd) & families have rooms,true,90days,false,true; children must be 18 & under,,falset a victim of intimate partner violence,,,,,,,,,,,,,Emergency,Photo ID,24/7
 Women's Safe House ,domesticviolence,http://twsh.org/,"P.O. Box 63010 St. Louis, Missouri 63163",,,314-772-4535,,,,,50 beds,false,false,false,,false,,,,false,,false,,"victim of intimate partner violence, must be a safe location",City,true,"United Way 211, internet, word of mouth, other shelters, other social service agencies, hospitals, police stations",24/7,,single women share & families have rooms,true,6-8 weeks,false,mothers & their children,,full,,,,,,,,,,,,,Emergency,"Photo ID; if falsene, 7 days to get one.",24/7
 Lydia's House ,domesticviolence,https://www.lydiashouse.org/,"P.O. Box 2722 St. Louis, MO 63116",,,314-771-4411,,,,,36 apartments - soon to be 45,false,false,true,,"true, but false drug test",,,,must be working to secure income,,referrals from shelters (DV and others),,"Domestic violence only, need safe confidential housing",Confidential,true,primarily from other shelters,N/A,,false,true,24 months,false,mothers and their children,,"false apartments available, falset domestic violence",,,,,,,,,,,,,Transitional ,"Photo ID, birth certificate, income verification (documents as available)",24/7
 Center for Women in Transition ,falsenhomelessservices,http://www.cwitstl.org/,"
7525 South Broadway
St. Louis, MO 63111",,Laura Toledo,,lauratoledo@cwitstl.org,,,,12 women,false,false,true,,false,false,false,false,false,In some programs,false,false,Must be currently incarcerated or within 6 months post-release,City,,"Prison/jail case managers, site visits, resource guides, word of mouth","9-5, M-F",24 hours,true,true,1 year,false,false,,false space available,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
